date, pm25, pm10, o3, no2, so2, co
2022/2/1, 261, 155, 57, 21, 2, 13
2022/2/2, 240, 124, 22, 14, 2, 15
2022/2/3, 212, 77, 24, 15, 2, 16
2022/2/4, 144, 156, 31, 24, 2, 25
2022/2/5, 211, 144, 45, 31, 2, 21
2022/2/6, 206, 143, 42, 29, 2, 18
2022/2/7, 196, 151, 44, 27, 3, 21
2022/2/8, 198, 112, 31, 18, 2, 17
2022/2/9, 173, 114, 36, 22, 2, 17
2022/2/10, 163, 118, 40, 26, 2, 15
2022/2/11, 158, 128, 43, 27, 5, 25
2022/2/12, 158, 158, 57, 30, 6, 25
2022/2/13, 190, 182, 58, 25, 6, 21
2022/2/14, 188, 150, 53, 28, 7, 20
2022/2/15, 164, 188, 53, 33, 11, 27
2022/2/16, 204, 171, 57, 28, 7, 22
2022/2/17, 183, 141, 41, 25, 4, 16
2022/2/18, 164, 128, 42, 24, 5, 10
2022/2/19, 168, 109, 45, 19, 4, 12
2022/2/20, 160, 146, 42, 23, 4, 21
2022/2/21, 162, 168, 51, 15, 6, 11
2022/2/22, 180, 126, 41, 12, 4, 16
2022/2/23, 181, 182, 43, 22, 10, 10
2022/2/24, 215, 156, 53, 14, 7, 14
2022/2/25, 196, 57, 35, 8, 6, 12
2022/2/26, 81, 72, 42, 10, 4, 12
2022/2/27, 121, 73, 51, 12, 6, 12
2022/2/28, 115, , , , , 
2022/1/3, 329, 224, 37, 34, 6, 30
2022/1/4, 291, 293, 36, 26, 6, 21
2022/1/5, 365, 92, 21, 13, 3, 15
2022/1/6, 186, 65, 16, 9, 3, 13
2022/1/7, 151, 51, 16, 9, 4, 13
2022/1/8, 128, 51, 12, 10, 4, 14
2022/1/9, 119, 92, 35, 14, 5, 17
2022/1/10, 176, 97, 32, 15, 5, 12
2022/1/11, 178, 119, 37, 16, 6, 18
2022/1/12, 203, 243, 26, 22, 6, 23
2022/1/13, 337, 220, 21, 16, 5, 16
2022/1/14, 302, 127, 13, 10, 5, 12
2022/1/15, 213, 161, 30, 11, 5, 18
2022/1/16, 236, 190, 29, 15, 5, 16
2022/1/17, 273, 187, 22, 12, 6, 17
2022/1/18, 274, 251, 31, 16, 6, 21
2022/1/19, 295, 226, 25, 11, 5, 22
2022/1/20, 308, 207, 39, 21, 4, 21
2022/1/21, 283, 117, 20, 16, 3, 13
2022/1/22, 207, 101, 22, 13, 3, 18
2022/1/23, 194, 146, 22, 20, 4, 19
2022/1/24, 222, 138, 12, 17, 3, 15
2022/1/25, 221, 140, 37, 15, 3, 19
2022/1/26, 212, 146, 38, 23, 3, 18
2022/1/27, 215, 113, 23, 25, 2, 11
2022/1/28, 180, 149, 43, 31, 2, 19
2022/1/29, 191, 149, 43, 28, 3, 15
2022/1/30, 216, 216, 28, 25, 3, 21
2022/1/31, 291, 176, 26, 32, 2, 19
2021/10/1, 145, 128, 33, 15, 3, 8
2021/10/2, 158, 229, 22, 13, 2, 6
2021/10/3, 108, 62, 31, 14, 2, 
2021/10/4, 76, 81, 59, 15, 2, 
2021/10/5, 123, 82, 38, 13, 2, 10
2021/10/6, 141, 98, 57, 18, 4, 10
2021/10/7, 157, 118, 61, 24, 4, 10
2021/10/8, 159, 113, 51, 23, 3, 10
2021/10/9, 147, 111, 53, 22, 4, 9
2021/10/10, 143, 107, 50, 21, 4, 8
2021/10/11, 140, 115, 53, 24, 4, 9
2021/10/12, 150, 130, 56, 16, 4, 5
2021/10/13, 168, 117, 61, 26, 3, 7
2021/10/14, 159, 127, 75, 31, 4, 10
2021/10/15, 176, 221, 68, 34, 7, 15
2021/10/16, 275, 126, 35, 15, 4, 6
2021/10/17, 189, 22, 14, 7, 3, 3
2021/10/18, 53, 73, 33, 17, 3, 6
2021/10/19, 136, 123, 51, 25, 4, 12
2021/10/20, 182, 120, 39, 27, 3, 8
2021/10/21, 147, 102, 38, 22, 3, 8
2021/10/22, 123, 102, 38, 22, 3, 7
2021/10/23, 144, 81, 40, 14, 3, 4
2021/10/24, 149, 63, 48, 16, 2, 6
2021/10/25, 115, 95, 45, 25, 2, 7
2021/10/26, 148, 139, 50, 34, 2, 10
2021/10/27, 183, 137, 65, 31, 2, 9
2021/10/28, 200, 150, 66, 35, 2, 15
2021/10/29, 210, 135, 50, 34, 2, 7
2021/10/30, 185, 161, 52, 37, 2, 25
2021/10/31, 211, 149, 58, 35, 2, 27
2021/11/1, 202, 139, 53, 33, 3, 21
2021/11/2, 205, 156, 64, 37, 4, 20
2021/11/3, 229, 335, 64, 40, 7, 22
2021/11/4, 356, 614, 29, 40, 9, 26
2021/11/5, 425, 279, 46, 42, 6, 24
2021/11/6, 372, 249, 57, 38, 5, 24
2021/11/7, 326, 230, 59, 44, 5, 24
2021/11/8, 320, 250, 52, 44, 6, 24
2021/11/9, 332, 220, 46, 52, 6, 29
2021/11/10, 288, 308, 9, 56, 6, 31
2021/11/11, 371, 452, 43, 56, 7, 32
2021/11/12, 472, 255, 40, 47, 6, 29
2021/11/13, 315, 175, 60, 42, 5, 25
2021/11/14, 246, 190, 58, 50, 5, 22
2021/11/15, 263, 243, 57, 44, 5, 22
2021/11/16, 324, 225, 86, 38, 5, 23
2021/11/17, 304, 174, 56, 42, 5, 23
2021/11/18, 263, 166, 25, 60, 5, 27
2021/11/19, 246, 202, 52, 52, 6, 24
2021/11/20, 289, 167, 58, 41, 4, 22
2021/11/21, 257, 134, 54, 32, 4, 18
2021/11/22, 191, 158, 67, 32, 8, 15
2021/11/23, 207, 230, 55, 46, 11, 28
2021/11/24, 286, 274, 62, 39, 11, 30
2021/11/25, 333, 341, 46, 45, 13, 38
