date, pm25, pm10, o3, no2, so2, co
2022/2/1, 293, 201, 20, 9, 1, 9
2022/2/2, 223, 128, 9, 7, , 8
2022/2/3, 212, 101, 11, 7, 1, 10
2022/2/4, 136, 314, 11, 10, 1, 17
2022/2/5, 212, 273, 10, 13, 1, 23
2022/2/6, 278, 249, 15, 18, 1, 12
2022/2/7, 181, 279, 16, 18, 1, 16
2022/2/8, 195, 181, 12, 13, 1, 10
2022/2/9, 172, 169, 15, 11, 1, 9
2022/2/10, 159, 159, 19, 12, 1, 8
2022/2/11, 162, 251, 19, 13, 1, 12
2022/2/12, 166, 282, 18, 16, 1, 14
2022/2/13, 189, 316, 16, 17, 1, 13
2022/2/14, 140, 336, 17, 18, 1, 14
2022/2/15, 168, 308, 22, 17, 1, 16
2022/2/16, 191, 328, 17, 15, 1, 11
2022/2/17, 190, 258, 15, 14, 1, 14
2022/2/18, 178, 154, 19, 12, 1, 7
2022/2/19, 162, 189, 19, 11, 1, 9
2022/2/20, 166, 311, 17, 13, 1, 11
2022/2/21, 159, 195, 20, 12, 1, 7
2022/2/22, 157, 186, 17, 11, 1, 12
2022/2/23, 183, 336, 17, 18, 1, 17
2022/2/24, 215, 192, 19, 14, 1, 9
2022/2/25, 188, 60, 14, 8, , 5
2022/2/26, 79, 73, 3, 9, 1, 6
2022/2/27, 112, 90, 19, 8, 1, 5
2022/2/28, 127, , , , , 
2022/1/3, 297, 426, 12, 18, 1, 19
2022/1/4, 310, 253, 3, 17, , 21
2022/1/5, 322, 117, 9, 11, , 10
2022/1/6, 193, 85, 7, 7, , 7
2022/1/7, 157, 45, 5, 7, , 6
2022/1/8, 123, 41, 3, 6, , 6
2022/1/9, 112, 124, 10, 9, , 16
2022/1/10, 178, 112, 11, 9, , 8
2022/1/11, 176, 219, 9, 10, , 12
2022/1/12, 189, 249, 13, 14, , 16
2022/1/13, 272, 263, 8, 11, , 16
2022/1/14, 305, 135, 5, 7, , 7
2022/1/15, 190, 158, 8, 8, , 9
2022/1/16, 208, 223, 9, 11, , 10
2022/1/17, 221, 213, 9, 8, , 9
2022/1/18, 259, 257, 10, 10, , 14
2022/1/19, 257, 270, 11, 11, , 15
2022/1/20, 310, 253, 12, 13, , 16
2022/1/21, 273, 106, 7, 7, , 8
2022/1/22, 199, 126, 6, 9, , 12
2022/1/23, 190, 262, 7, 10, , 17
2022/1/24, 194, 212, 4, 7, , 13
2022/1/25, 200, 178, 10, 8, , 11
2022/1/26, 195, 201, 15, 10, , 9
2022/1/27, 192, 209, 18, 11, , 10
2022/1/28, 182, 368, 15, 14, 1, 14
2022/1/29, 212, 248, 17, 13, 1, 10
2022/1/30, 210, 244, 16, 15, 1, 15
2022/1/31, 268, 301, 8, 14, , 12
2021/10/1, 121, 92, 8, 4, , 6
2021/10/2, 135, 70, 4, 2, , 5
2021/10/3, 83, 91, 2, 5, 1, 9
2021/10/4, 89, 88, 11, 5, , 6
2021/10/5, 112, 71, 3, 4, , 6
2021/10/6, 115, 92, 13, 5, , 6
2021/10/7, 153, 140, 12, 9, , 10
2021/10/8, 150, 154, 8, 9, , 12
2021/10/9, 146, 179, 7, 11, , 19
2021/10/10, 161, 140, 1, 10, , 15
2021/10/11, 144, 116, 4, 10, , 8
2021/10/12, 146, 126, 4, 8, , 6
2021/10/13, 159, 184, 1, 11, , 8
2021/10/14, 161, 212, 4, 11, , 11
2021/10/15, 177, 339, 9, 17, , 17
2021/10/16, 224, 151, 2, 9, , 8
2021/10/17, 192, 41, 1, 3, , 5
2021/10/18, 59, 99, 3, 6, , 6
2021/10/19, 118, 252, 5, 11, , 11
2021/10/20, 175, 233, 6, 12, 1, 11
2021/10/21, 151, 194, 4, 11, 1, 12
2021/10/22, 131, 153, 6, 12, 1, 9
2021/10/23, 136, 88, 8, 9, 1, 7
2021/10/24, 140, 100, 9, 9, 1, 10
2021/10/25, 114, 246, 9, 10, 1, 15
2021/10/26, 169, 189, 11, 13, 1, 11
2021/10/27, 182, 272, 13, 15, 2, 16
2021/10/28, 196, 261, 24, 16, 2, 17
2021/10/29, 197, 260, 18, 17, 1, 11
2021/10/30, 197, 336, 23, 16, 1, 12
2021/10/31, 196, 231, 24, 19, 1, 14
2021/11/1, 187, 184, 26, 18, 1, 10
2021/11/2, 189, 291, 23, 23, 1, 14
2021/11/3, 210, 476, 19, 18, 1, 19
2021/11/4, 412, 562, 10, 15, 1, 17
2021/11/5, 504, 420, 17, 20, 1, 17
2021/11/6, 382, 316, 21, 18, 1, 17
2021/11/7, 293, 356, 22, 21, 1, 16
2021/11/8, 307, 356, 22, 20, 1, 18
2021/11/9, 292, 424, 18, 23, 2, 15
2021/11/10, 293, 466, 3, 22, 1, 21
2021/11/11, 363, 504, 13, 20, 1, 21
2021/11/12, 430, 472, 15, 21, 1, 19
2021/11/13, 359, 329, 21, 20, 2, 18
2021/11/14, 239, 333, 19, 22, 2, 17
2021/11/15, 285, 353, 20, 21, 1, 16
2021/11/16, 319, 316, 20, 21, 1, 18
2021/11/17, 263, 331, 24, 23, 1, 17
2021/11/18, 274, 320, 22, 22, 2, 21
2021/11/19, 309, 355, 24, 20, 1, 16
2021/11/20, 287, 255, 21, 18, 1, 14
2021/11/21, 281, 180, 20, 13, 1, 9
2021/11/22, 202, 320, 19, 15, 1, 12
2021/11/23, 217, 300, 20, 27, 1, 19
2021/11/24, 257, 359, 23, 23, 1, 15
2021/11/25, 284, 377, 21, 27, 1, 25
2021/11/26, 317, 297, 19, 22, 1, 21
2021/11/27, 281, 370, 20, 21, 1, 21
2021/11/28, 335, 296, 15, 17, 1, 20
2021/11/29, 296, 304, 17, 15, 1, 16
2021/11/30, 255, 319, 5, 18, , 19
2021/12/1, 291, 247, 2, 13, , 14
2021/12/2, 341, 134, 7, 12, , 17
2021/12/3, 233, 237, 13, 14, 1, 18
2021/12/4, 232, 224, 13, 20, 2, 25
2021/12/5, 210, 211, 15, 15, 1, 15
2021/12/6, 226, 143, 12, 12, 1, 10
2021/12/7, 185, 186, 14, 13, 1, 14
2021/12/8, 196, 206, 14, 15, 1, 14
2021/12/9, 210, 180, 14, 14, 1, 13
2021/12/10, 219, 219, 14, 13, 1, 14
2021/12/11, 195, 268, 14, 16, 1, 16
2021/12/12, 227, 304, 12, 18, 1, 22
2021/12/13, 248, 294, 20, 17, 1, 23
2021/12/14, 278, 234, 19, 14, , 16
2021/12/15, 260, 237, 13, 16, 1, 14
2021/12/16, 285, 165, 17, 10, 1, 10
2021/12/17, 238, 175, 12, 12, , 11
2021/12/18, 200, 172, 17, 13, , 10
2021/12/19, 212, 342, 16, 14, 1, 11
2021/12/20, 268, 468, 16, 17, 2, 24
